Date,Open,High,Low,Close,Adj Close,Volume
2017-05-23,139.410004,139.419998,138.779999,139.139999,137.946152,19687500
2017-05-24,139.559998,139.850006,139.169998,139.779999,138.580673,15891900
2017-05-25,140.309998,141.330002,140.009995,140.970001,139.760468,23928600
2017-05-26,141.000000,141.279999,140.809998,141.220001,140.008331,13851600
2017-05-30,141.149994,141.509995,141.059998,141.339996,140.127304,20306400
2017-05-31,141.839996,141.839996,140.570007,141.289993,140.077713,33229400
2017-06-01,141.580002,141.899994,140.979996,141.839996,140.622986,20120700
2017-06-02,142.339996,143.490005,142.110001,143.460007,142.229126,37222900
2017-06-05,143.449997,143.679993,143.229996,143.429993,142.199356,15727500
2017-06-06,143.259995,143.729996,142.649994,142.860001,141.634247,22393000
2017-06-07,143.259995,143.539993,142.600006,143.419998,142.189438,18842400
2017-06-08,143.740005,143.800003,142.789993,143.570007,142.338181,25152400
2017-06-09,143.740005,143.899994,138.110001,139.979996,138.778961,109783700
2017-06-12,138.800003,139.479996,137.470001,139.229996,138.035385,104454000
2017-06-13,140.009995,140.559998,139.279999,140.360001,139.155701,51193000
2017-06-14,140.929993,140.929993,138.619995,139.750000,138.550934,60093800
2017-06-15,138.339996,139.279999,137.490005,139.130005,137.936264,55145200
2017-06-16,138.679993,138.779999,137.639999,138.149994,137.337784,48087400
2017-06-19,139.490005,140.589996,139.279999,140.460007,139.634232,39626500
2017-06-20,140.320007,140.500000,139.309998,139.360001,138.540680,40935100
2017-06-21,139.679993,140.809998,139.589996,140.740005,139.912582,35743400
2017-06-22,140.960007,141.220001,140.339996,140.699997,139.872803,24099100
2017-06-23,140.539993,141.419998,140.149994,141.240005,140.409637,21654300
2017-06-26,142.050003,142.289993,140.270004,140.580002,139.753494,34411100
2017-06-27,140.050003,140.220001,138.020004,138.029999,137.218506,65957800
2017-06-28,138.539993,140.139999,137.740005,140.020004,139.196808,57427200
2017-06-29,139.440002,139.440002,136.250000,137.589996,136.781067,88769400
2017-06-30,137.979996,138.669998,137.190002,137.639999,136.830795,68898300
2017-07-03,138.270004,138.429993,136.100006,136.190002,135.389313,32797000
2017-07-05,136.619995,137.899994,136.160004,137.529999,136.721451,42116600
2017-07-06,136.479996,137.059998,135.800003,136.289993,135.488724,48430500
2017-07-07,136.750000,138.130005,136.740005,137.759995,136.950073,36970400
2017-07-10,137.850006,138.990005,137.500000,138.660004,137.844803,24853500
2017-07-11,138.460007,139.220001,137.940002,139.050003,138.232513,31517700
2017-07-12,140.240005,140.860001,139.960007,140.699997,139.872803,36045800
2017-07-13,140.869995,141.350006,140.600006,141.009995,140.180984,31073600
2017-07-14,141.639999,142.300003,141.190002,142.119995,141.284454,34544800
2017-07-17,142.270004,142.690002,141.919998,142.190002,141.354034,25343200
2017-07-18,142.089996,143.169998,141.639999,143.139999,142.298462,25748500
2017-07-19,143.559998,144.190002,143.500000,143.979996,143.133514,33752300
2017-07-20,144.350006,144.440002,143.520004,144.169998,143.322418,36139400
2017-07-21,143.639999,144.110001,143.350006,144.110001,143.262756,39697100
2017-07-24,144.089996,144.869995,143.919998,144.770004,143.918869,26712700
2017-07-25,144.289993,144.740005,144.009995,144.399994,143.551056,28120900
2017-07-26,144.759995,144.949997,144.529999,144.869995,144.018295,18610600
2017-07-27,145.820007,145.960007,142.300003,143.960007,143.113647,80665900
